TSP,TSP Name,Post Date/Time,Effective Gas Day/Time,Meas Basis Desc,Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail,Qty Reason
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:21AM,08/28/2022 9:00AM,MMBtu,78524,MARKET,ANR QUITMAN,MQ,DPQ,D,1287500,1287500,3100,1284400,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:21AM,08/28/2022 9:00AM,MMBtu,78518,FAYETTEVILLE SUPPLY BASIN,CENTERPOINT/ROSE BUD,M2,RPQ,R,200000,200000,39000,161000,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:21AM,08/28/2022 9:00AM,MMBtu,78522,MARKET,NGPL RUSSELL,MQ,DPQ,D,500000,500000,40000,460000,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:21AM,08/28/2022 9:00AM,MMBtu,78513,FAYETTEVILLE SUPPLY BASIN,SWN/SOUTHEAST RAINBOW,M2,RPQ,R,200000,200000,36695,163305,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:21AM,08/28/2022 9:00AM,MMBtu,78516,FAYETTEVILLE SUPPLY BASIN,SWN/YELLOWSTONE,M2,RPQ,R,150000,150000,39000,111000,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:21AM,08/28/2022 9:00AM,MMBtu,78523,MARKET,TEXAS GAS LULA,MQ,DPQ,D,620000,620000,70992,549008,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:21AM,08/28/2022 9:00AM,MMBtu,78525,MARKET,TRUNKLINE PANOLA,MQ,DPQ,D,890625,890625,603,890022,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,100734,WEST TEXAS,3 BEAR LEA,M2,RPQ,R,40000,55000,55000,0,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,60152,CENTRAL,ABO FUEL DEL,MQ,DPQ,D,5000,5000,1000,4000,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,28786,PANHANDLE,ADOBE OWENS CORNING,MQ,DPQ,D,13000,13000,6500,6500,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,500307,CENTRAL,AGAVE LONG ARROYO MQ,M2,RPQ,R,70000,70000,1968,68032,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,79028,WEST TEXAS,AGAVE ROJO BANCO,M2,RPQ,R,380000,380000,380000,0,Y,N,Y,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,57274,PANHANDLE,ANR/TW RED DEER,MQ,DPQ,D,0,10000,9032,968,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,79049,PANHANDLE,ATMOS AIRPORT I/C,MQ,DPQ,D,250,250,1,249,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,79052,PANHANDLE,ATMOS CANYON WEST I/C,MQ,DPQ,D,3000,3000,200,2800,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,79058,PANHANDLE,ATMOS PAMPA NORTH,MQ,DPQ,D,15600,15600,400,15200,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,78474,PANHANDLE,ATMOS RANDALL COUNTY,MQ,DPQ,D,120000,120000,5117,114883,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,100732,PHOENIX,Arlington Valley Plant,MQ,DPQ,D,250000,250000,5000,245000,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,500536,SAN JUAN2,BP FLORIDA PLANT I/C,M2,RPQ,R,360000,360000,135476,224524,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,9198,PANHANDLE,CIG TUMBLEWEED REC CIG TW,M2,RPQ,R,40000,40000,298,39702,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,79035,CENTRAL,COYOTE INTERCONNECT,MQ,DPQ,D,3500,3500,840,2660,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,56339,CENTRAL,DAGGER DRAW,M2,RPQ,R,34000,34000,14794,19206,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,78477,PANHANDLE,DAIRICONCEPTS - ROOSEVELT,MQ,DPQ,D,6000,6000,1409,4591,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,10703,CENTRAL,DCP Artesia,M2,RPQ,R,43000,38000,36300,1700,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,79029,CENTRAL,DCP FUEL TAP EDDY,MQ,DPQ,D,1000,1500,197,1303,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:22AM,08/28/2022 9:00AM,MMBtu,79069,CENTRAL,DCP ZIA II,M2,RPQ,R,125000,125000,48200,76800,Y,N,N,Y,
